OID_,AC_type,Year,Passage_lift,Service_lift,Operate_start_work,bld_opr_hrs,Operate_start_weekend,Operate_hours_weekend,retail,parking,office,hotel,food,GHI,wind_speed_10m,CDH,landuse,NDVI,NDBI,BH,podium,area_podium,highrise,area_upper,Dist_mtr,bld_eui2,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1900,Central Air-Conditioning System,1998,3,1,8.5,10,8.5,5,102.7689743,6.4667926,0,0,0,1424.474976,3.3292813,2.793602151,31,0.1927806,0.0204725,50.9596558,1,1090,1,1316,256.843331,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1901,Individual Air-Conditioning System,1999,,,,,,,824.9171753,167.7392883,422.2218323,689.6983643,728.859314,1418.265991,3.0064847,2.757786739,1,0.0956293,-0.0513869,59.6583099,1,1695,1,547,337.6495028,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1902,Central Air-Conditioning System,1999,2,0,8,12,8,5,1419.12915,0,199.082428,181.3276825,1929.967285,1419.727051,2.6154828,2.757786739,11,0.047473,0.0749653,31.8120728,1,976,1,173,175.695238,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1903,Individual Air-Conditioning System,1999,3,0,,,,,208.947464,0,0,0,0,1421.187988,2.8710909,2.793602151,32,0.3050313,-0.1976535,21.507143,0,0,0,0,184.1506246,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1904,Individual Air-Conditioning System,1999,2,0,,,,,29.8612766,0,0,0,0,1418.265991,3.4746475,2.757786739,11,0.2515766,-0.0501016,49.4113083,1,21761,0,0,131.2041882,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1905,Central Air-Conditioning System,1999,16,2,8.5,10.5,8.5,5.5,7498.919434,0,1834.013672,26.4400902,711.0264282,1421.917969,2.5832288,2.757786739,11,0.0095565,0.0898045,25.8565331,1,68742,0,0,424.7588993,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1906,Central Air-Conditioning System,1999,16,2,8.5,10.5,8.5,5.5,7498.919434,0,1834.013672,26.4400902,711.0264282,1421.917969,2.5832288,2.757786739,11,0.0095565,0.0898045,25.8565331,1,68742,0,0,424.7588993,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1907,Central Air-Conditioning System,1999,16,2,8.5,10.5,8.5,5.5,7498.919434,0,1834.013672,26.4400902,711.0264282,1421.917969,2.5832288,2.757786739,11,0.0095565,0.0898045,25.8565331,1,68742,0,0,424.7588993,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1908,Central Air-Conditioning System,1999,3,1,8.5,10,8.5,5,1350.654419,29.4031315,66.5650253,128.0336151,1608.955811,1421.552979,3.5354245,2.793602151,11,0.0146323,-0.0042596,17.9235706,0,0,0,0,374.9210468,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1909,Central Air-Conditioning System,1999,2,1,8.5,10.5,8.5,5.5,1314.228027,45.7463303,1222.901245,552.2001953,3227.037354,1421.187988,2.9570251,2.757786739,11,0.0140653,-0.0320416,61.5523796,1,2625,1,215,249.3640872,,NO,YES,NO,NO,NO,2015,4/30/2019,retro_after,19,0,61,yes,,,
