ID,bld_eui2,log10_eui,BH,FoC_v,retro,BS,Basement,Year,highrise,area_upper,podium,area_podium,CDH,GHI,wind_speed_10m,landuse,food,retail,parking,office,hotel,Dist_mtr,CLABEL,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_start_weekend,Operate_hours_weekend,Operate_hours,BH,bld_submis
58,12.39,1.093071306,26.1005249,,NONE,5,0,1985,1,188,1,685,2.6145301,1414.609985,2.3836701,11,1623.189941,529.9760132,65.1144028,50.9001999,0,1039.56408,樂富站,Individual Air-Conditioning System,,,,,,,,26.1005249,2013
59,12.57,1.099335278,67.2460403,,NONE,21,0,1984,1,638,1,1375,2.7577901,1425.939941,2.9251499,11,269.5710144,861.8099976,0,84.7703018,0,307.2093542,油麻地站,,,,,,,,,67.2460403,2014
60,12.77,1.106190897,46.0468369,,NONE,14,0,1983,1,201,1,936,2.5428901,1427.400024,2.90558,1,1013.219971,1801.25,73.0563965,435.7669983,0,269.6139413,太子站,,,,,,,,,46.0468369,2015
61,12.86,1.109240969,30.5364895,,NONE,5,0,1991,1,105,1,1067,2.5070801,1418.630005,3.10741,1,1801.329956,1035.969971,13.3100996,256.1719971,106.0749969,247.5259721,上環站,Individual Air-Conditioning System,,,,,,,,30.5364895,2013
62,12.89,1.110252917,44.1379738,,NONE,13,0,1977,1,142,1,1033,2.7219701,1430.319946,2.40417,11,269.2659912,1023.400024,52.8597984,0,194.9799957,502.1875087,奧運站,Individual Air-Conditioning System,,,,,,,,44.1379738,2014
63,12.92,1.111262514,20.8728027,,NONE,2,0,1992,0,0,1,3903,2.6861601,1458.079956,1.95885,1,1314.189941,281.0880127,150.4400024,70.7766037,0,1168.829669,兆康站,,,,,,,,,20.8728027,2013
64,13.06,1.115943177,70.3743134,,NONE,20,0,1967,1,663,1,5580,2.6145301,1400.369995,3.6512201,1,859.3930054,1046.449951,128.1230011,204.8809967,0,77.53959341,炮台山站,,,,,,,,,70.3743134,2015
65,13.09,1.116939647,70.7333298,2012,retro_before,24,0,1982,1,440,1,9420,2.5787101,1421.920044,4.1080899,11,0,0,0,0,0,741.8097984,柴灣站,Individual Air-Conditioning System,3,,,,,,,70.7333298,2012
66,13.14,1.118595365,56.6273651,,NONE,14,0,1985,1,114,1,873,2.5070801,1424.839966,2.2251599,41,2087.179932,879.8969727,92.5579987,384.8980103,0,218.2727351,上環站,Individual Air-Conditioning System,,,,,,,,56.6273651,2014
67,13.24,1.121887985,30.8862514,,NONE,9,0,1975,1,113,1,1073,2.7577901,1421.189941,3.00648,11,856.0599976,1705.51001,61.7262001,551.1519775,140.423996,225.7252439,尖沙咀站,Individual Air-Conditioning System,2,0,,,,,,30.8862514,2014
68,13.24,1.121887985,44.7528381,,NONE,12,0,1975,1,380,1,1084,2.7219701,1423.380005,2.76285,11,473.5979919,608.8530273,49.7060013,245.1790009,0,1808.215586,紅磡站,,,,,,,,,44.7528381,2014
69,13.34,1.12515583,57.830864,,NONE,14,0,1983,1,87,1,850,2.5070801,1418.630005,3.10741,31,670.3480225,2602.060059,0.199952,73.0175018,0,292.216205,上環站,Individual Air-Conditioning System,2,,,,,,,57.830864,2014
70,13.34,1.12515583,75.6244736,,NONE,21,0,1977,1,474,1,668,2.7577901,1427.030029,2.4395001,11,174.4680023,0,93.9274979,1286.5,0,237.3930447,油麻地站,Individual Air-Conditioning System,,,,,,,,75.6244736,2015
71,13.36,1.125806458,43.6799812,2012,retro_after,13,0,1979,1,190,1,753,2.5787101,1425.939941,2.4138801,1,44.1608009,2402.370117,0,266.8179932,0,109.6289245,深水站,,,,,,,,,43.6799812,2016
72,13.41,1.127428778,69.4868393,,NONE,23,0,1989,1,115,1,445,2.7219701,1420.459961,3.40484,41,78.2965012,700.867981,0,710.6090088,0,1065.854039,紅磡站,Individual Air-Conditioning System,2,0,,,,,,69.4868393,2016
73,13.44,1.128399269,69.138855,,NONE,25,0,1968,1,337,1,268,2.5070801,1408.77002,3.10741,41,1080.670044,1678.780029,92.5711975,127.651001,0,191.8596421,上環站,Individual Air-Conditioning System,2,0,,,,,,69.138855,2013
74,13.57,1.132579848,51.0063133,,NONE,15,0,1981,1,220,1,822,2.5070801,1424.109985,2.3457501,11,210.326004,454.2510071,337.2479858,185.4349976,0,229.53362,太子站,,,,,,,,,51.0063133,2014
75,13.61,1.133858125,59.1899261,,NONE,16,0,1974,1,284,1,976,2.7577901,1421.189941,2.6154799,11,3876.360107,1868.079956,0,219.9519958,174.8739929,168.7536374,尖沙咀站,Individual Air-Conditioning System,2,,,,,,,59.1899261,2014
76,13.64,1.13481437,48.6604462,,NONE,14,0,1978,1,141,1,907,2.7936001,1423.73999,3.11588,11,801.7529907,907.3590088,172.8699951,94.360199,175.2749939,229.4603506,佐敦站,,,,,,,,,48.6604462,2015
77,13.73,1.137670537,50.0253983,,NONE,17,0,1971,1,376,1,3640,2.5070801,1425.569946,3.9737401,41,144.7160034,214.3090057,87.9816971,998.9290161,0,430.5654079,上環站,Individual Air-Conditioning System,,,,,,,,50.0253983,2014
78,13.74,1.137986733,33.7339592,,NONE,10,0,1964,1,165,1,120,2.7577901,1428.859985,2.90924,1,1022.849976,1167.979981,92.8952026,510.5750122,255.772995,311.7012183,油麻地站,,,,,,,,,33.7339592,2013
79,13.79,1.139564266,40.957962,,NONE,15,0,1976,1,113,1,907,2.7936001,1423.73999,3.11588,11,801.7529907,907.3590088,172.8699951,94.360199,175.2749939,230.0187047,佐敦站,,,,,,,,,40.957962,2016
80,13.81,1.140193679,45.1506653,2015,retro_after,13,0,1976,1,367,1,1004,2.5787101,1427.030029,2.4138801,11,170.5859985,2457.139893,123.9700012,483.4140015,0,248.7187132,深水站,Individual Air-Conditioning System,2,0,,,,,,45.1506653,2014
81,13.83,1.14082218,17.9103241,,NONE,7,0,1975,1,129,1,2904,2.5070801,1426.670044,2.4760599,41,3169.959961,2242.610107,0.477328,2972.919922,0,277.3276699,上環站,,,,,,,,,17.9103241,2013
82,13.91,1.14332713,23.2293758,,NONE,6,0,1976,1,62,1,1780,2.5070801,1424.839966,3.9825599,11,606.1370239,397.0889893,0,1356.099976,166.8110046,111.8506597,上環站,Individual Air-Conditioning System,,,,,,,,23.2293758,2016
83,13.92,1.143639235,22.9724216,,NONE,7,0,1979,1,84,1,2904,2.5070801,1426.670044,2.4760599,11,4515.379883,3249.229981,1.97276,3506.570068,0,274.5980351,上環站,,,,,,,,,22.9724216,2016
84,13.99,1.145817714,24.4491653,,NONE,6,0,1980,1,102,1,1649,2.5070801,1424.839966,3.9825599,11,738.2910156,443.2369995,0,1611.560059,176.6589966,133.0576577,上環站,,,,,,,,,24.4491653,2015
85,14.02,1.146748014,39.5867996,,NONE,14,0,1977,1,202,1,542,2.5070801,1423.73999,3.9825599,11,487.2630005,441.6400146,88.9326019,181.9589996,91.3407974,273.679885,上環站,Central Air-Conditioning System,2,0,,,,,,39.5867996,2013
86,14.03,1.147057671,86.1447983,,NONE,24,0,1997,1,265,1,930,2.7577901,1425.939941,2.9251499,11,228.2480011,634.5180054,0,1347.869995,0,317.7380086,油麻地站,Individual Air-Conditioning System,2,0,8,10.5,8,6,58.5,86.1447983,2014
87,14.03,1.147057671,22.7064171,,NONE,5,0,1971,1,120,1,582,2.6145301,1414.609985,2.4182401,11,1220.949951,661.3709717,0,0,0,1157.319201,樂富站,,,,,,,,,22.7064171,2016
88,14.05,1.147676324,35.4535675,2015,retro_after,13,0,1975,1,158,1,1090,2.4712601,1446.390015,2.3779399,1,1594.130005,626.2839966,0,165.0630035,83.4849014,172.2618829,堅尼地城站,,,,,,,,,35.4535675,2013
89,14.06,1.147985321,49.7590103,,NONE,14,0,1971,1,214,1,1261,2.5070801,1423.73999,3.9737401,11,970.2329712,320.3609924,79.4581985,204.7630005,82.7009964,457.9194803,上環站,Individual Air-Conditioning System,,,,,,,,49.7590103,2014
90,14.09,1.148910993,8.6779127,,NONE,3,0,1989,0,0,0,0,2.6145301,1410.229981,1.16141,2,0,93.2692032,0,0,0,601.4601284,寶琳站,,,,,,,,,8.6779127,2016
91,14.13,1.150142162,34.4893456,,NONE,6,0,1984,1,57,1,188,2.5070801,1418.630005,3.10741,11,1801.329956,1035.969971,13.3100996,256.1719971,106.0749969,259.6569481,上環站,,,,,,,,,34.4893456,2015
92,14.18,1.151676231,51.3646431,,NONE,15,0,1976,1,331,1,719,2.5428901,1427.76001,2.3457501,11,903.4229736,463.3590088,92.9610977,0,0,166.5196341,太子站,Individual Air-Conditioning System,,,,,,,,51.3646431,2014
93,14.21,1.152594078,58.7347336,2015,retro_after,16,0,1981,1,425,1,4838,2.5070801,1423.73999,3.9737401,11,510.071991,240.2910004,13.1498003,964.3430176,0.341453,405.8501245,上環站,Individual Air-Conditioning System,,,,,,,,58.7347336,2016
94,14.24,1.153509989,54.8432312,,NONE,12,0,1968,1,129,1,536,2.4712601,1409.5,2.9142699,11,3131.469971,2269.919922,9.6550198,531.3469849,0,257.975304,中環站,Individual Air-Conditioning System,1,0,,,,,,54.8432312,2013
95,14.32,1.155943018,41.2822189,,NONE,13,0,1975,1,146,1,502,2.7219701,1428.130005,2.9642301,11,53.7625999,1842.699951,0,48.035099,0,80.78602563,旺角站,,,,,,,,,41.2822189,2013
96,14.33,1.15624619,55.3034973,,NONE,13,0,1981,1,213,1,240,2.7936001,1425.939941,2.4418299,11,403.5400085,32.9434013,77.4952011,1.2737401,191.572998,264.3577177,佐敦站,Individual Air-Conditioning System,,,,,,,,55.3034973,2013
97,14.38,1.157758886,76.0464249,,NONE,17,0,1977,1,250,1,1135,2.7219701,1422.650024,2.1819201,1,1772.26001,791.8740234,0.119477,63.6584015,0,483.8664118,葵興站,,,,,,,,,76.0464249,2016
98,14.38,1.157758886,79.3489761,,NONE,17,0,1977,1,246,1,1135,2.7219701,1421.920044,2.1819201,1,1831.400024,987.1550293,16.5436993,46.8709984,0,503.1461323,葵興站,,,,,,,,,79.3489761,2013
99,14.57,1.163459552,76.0738678,,NONE,3,0,1989,1,223,1,782,2.4354501,1474.880005,2.61022,41,567.5709839,250.1130066,0,1357.589966,0,3632.522043,金鐘站,,,,,,,,,76.0738678,2014
100,14.71,1.167612673,58.394886,,NONE,22,0,1992,1,134,1,2830,2.6861601,1411.329956,2.4356401,11,475.2590027,1395.829956,176.7460022,422.4519958,0,422.3150588,銅鑼灣站,Individual Air-Conditioning System,2,0,,,,,,58.394886,2014
101,14.75,1.16879202,50.8194427,,NONE,13,0,1964,1,243,1,1010,2.7577901,1421.189941,2.8955801,41,763.9829712,1055.75,71.6649017,1084.199951,592.5479736,35.52561531,尖沙咀站,Individual Air-Conditioning System,,,,,,,,50.8194427,2018
102,14.8,1.170261715,27.1974926,,NONE,11,0,1978,1,144,1,120,2.5070801,1425.569946,3.9737401,11,1014.48999,823.0100098,32.9706993,3707.620117,43.7333984,380.3134161,上環站,Individual Air-Conditioning System,,,,,,,,27.1974926,2015
103,14.83,1.171141151,13.4143295,,NONE,1,0,1984,0,0,1,4850,2.5070801,1380.650024,2.20593,1,123.0329971,184.548996,267.6340027,0,62.9236984,476.06086,沙田圍站,,,,,,,,,13.4143295,2016
104,14.85,1.171726454,38.8796501,,NONE,25,0,1977,1,695,1,1056,2.4712601,1409.5,2.9142699,41,2272.679932,722.507019,98.3733978,927.559021,1.766,295.0288011,中環站,Individual Air-Conditioning System,2,0,,,,,,38.8796501,2015
105,15.01,1.176380692,36.8922272,,NONE,23,0,1975,1,707,1,611,2.5070801,1418.630005,2.2251599,11,783.1069946,624.4160156,88.0700989,309.3359985,248.5070038,261.2378745,上環站,Central Air-Conditioning System,,,,,,,,36.8922272,2019
