bld_eui2,log10_eui,highrise,area_upper,podium,area_podium,BH,BS,Year,food,retail,parking,office,hotel,CDH,GHI,wind_speed_10m,ndvi,landuse,Dist_mtr,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_hours,retro
12.89,1.110252917,1,142,1,1033,44.1379738,13,1977,269.2659912,1023.400024,52.8597984,0,194.9799957,2.7219701,1430.319946,2.40417,0.0407341,11,502.1875087,Individual Air-Conditioning System,,,,,,NONE
12.92,1.111262514,0,0,1,3903,20.8728027,2,1992,1314.189941,281.0880127,150.4400024,70.7766037,0,2.6861601,1458.079956,1.95885,0.1057791,1,1168.829669,,,,,,,NONE
13.06,1.115943177,1,663,1,5580,70.3743134,20,1967,859.3930054,1046.449951,128.1230011,204.8809967,0,2.6145301,1400.369995,3.6512201,0.055837,1,77.53959341,,,,,,,NONE
13.09,1.116939647,1,440,1,9420,70.7333298,24,1982,0,0,0,0,0,2.5787101,1421.920044,4.1080899,0.0310933,11,741.8097984,Individual Air-Conditioning System,3,,,,,retro_before
13.14,1.118595365,1,114,1,873,56.6273651,14,1985,2087.179932,879.8969727,92.5579987,384.8980103,0,2.5070801,1424.839966,2.2251599,-0.0071972,41,218.2727351,Individual Air-Conditioning System,,,,,,NONE
13.24,1.121887985,1,113,1,1073,30.8862514,9,1975,856.0599976,1705.51001,61.7262001,551.1519775,140.423996,2.7577901,1421.189941,3.00648,0.0164779,11,225.7252439,Individual Air-Conditioning System,2,0,,,,NONE
13.24,1.121887985,1,380,1,1084,44.7528381,12,1975,473.5979919,608.8530273,49.7060013,245.1790009,0,2.7219701,1423.380005,2.76285,0.044796,11,1808.215586,,,,,,,NONE
13.34,1.12515583,1,87,1,850,57.830864,14,1983,670.3480225,2602.060059,0.199952,73.0175018,0,2.5070801,1418.630005,3.10741,0.4337834,31,292.216205,Individual Air-Conditioning System,2,,,,,NONE
13.34,1.12515583,1,474,1,668,75.6244736,21,1977,174.4680023,0,93.9274979,1286.5,0,2.7577901,1427.030029,2.4395001,0.0126234,11,237.3930447,Individual Air-Conditioning System,,,,,,NONE
13.36,1.125806458,1,190,1,753,43.6799812,13,1979,44.1608009,2402.370117,0,266.8179932,0,2.5787101,1425.939941,2.4138801,0.0606845,1,109.6289245,,,,,,,retro_after
13.41,1.127428778,1,115,1,445,69.4868393,23,1989,78.2965012,700.867981,0,710.6090088,0,2.7219701,1420.459961,3.40484,0.0271932,41,1065.854039,Individual Air-Conditioning System,2,0,,,,NONE
13.44,1.128399269,1,337,1,268,69.138855,25,1968,1080.670044,1678.780029,92.5711975,127.651001,0,2.5070801,1408.77002,3.10741,0.0295194,41,191.8596421,Individual Air-Conditioning System,2,0,,,,NONE
13.57,1.132579848,1,220,1,822,51.0063133,15,1981,210.326004,454.2510071,337.2479858,185.4349976,0,2.5070801,1424.109985,2.3457501,0.0732306,11,229.53362,,,,,,,NONE
13.61,1.133858125,1,284,1,976,59.1899261,16,1974,3876.360107,1868.079956,0,219.9519958,174.8739929,2.7577901,1421.189941,2.6154799,0.0677891,11,168.7536374,Individual Air-Conditioning System,2,,,,,NONE
13.64,1.13481437,1,141,1,907,48.6604462,14,1978,801.7529907,907.3590088,172.8699951,94.360199,175.2749939,2.7936001,1423.73999,3.11588,0.0206234,11,229.4603506,,,,,,,NONE
13.73,1.137670537,1,376,1,3640,50.0253983,17,1971,144.7160034,214.3090057,87.9816971,998.9290161,0,2.5070801,1425.569946,3.9737401,-0.0190797,41,430.5654079,Individual Air-Conditioning System,,,,,,NONE
13.74,1.137986733,1,165,1,120,33.7339592,10,1964,1022.849976,1167.979981,92.8952026,510.5750122,255.772995,2.7577901,1428.859985,2.90924,0.0395696,1,311.7012183,,,,,,,NONE
13.79,1.139564266,1,113,1,907,40.957962,15,1976,801.7529907,907.3590088,172.8699951,94.360199,175.2749939,2.7936001,1423.73999,3.11588,0.0206234,11,230.0187047,,,,,,,NONE
13.81,1.140193679,1,367,1,1004,45.1506653,13,1976,170.5859985,2457.139893,123.9700012,483.4140015,0,2.5787101,1427.030029,2.4138801,0.0192005,11,248.7187132,Individual Air-Conditioning System,2,0,,,,retro_after
13.83,1.14082218,1,129,1,2904,17.9103241,7,1975,3169.959961,2242.610107,0.477328,2972.919922,0,2.5070801,1426.670044,2.4760599,-0.0409871,41,277.3276699,,,,,,,NONE
13.91,1.14332713,1,62,1,1780,23.2293758,6,1976,606.1370239,397.0889893,0,1356.099976,166.8110046,2.5070801,1424.839966,3.9825599,0.0183077,11,111.8506597,Individual Air-Conditioning System,,,,,,NONE
13.92,1.143639235,1,84,1,2904,22.9724216,7,1979,4515.379883,3249.229981,1.97276,3506.570068,0,2.5070801,1426.670044,2.4760599,-0.0409871,11,274.5980351,,,,,,,NONE
13.99,1.145817714,1,102,1,1649,24.4491653,6,1980,738.2910156,443.2369995,0,1611.560059,176.6589966,2.5070801,1424.839966,3.9825599,0.0266433,11,133.0576577,,,,,,,NONE
14.02,1.146748014,1,202,1,542,39.5867996,14,1977,487.2630005,441.6400146,88.9326019,181.9589996,91.3407974,2.5070801,1423.73999,3.9825599,0.0397326,11,273.679885,Central Air-Conditioning System,2,0,,,,NONE
14.03,1.147057671,1,265,1,930,86.1447983,24,1997,228.2480011,634.5180054,0,1347.869995,0,2.7577901,1425.939941,2.9251499,0.0204802,11,317.7380086,Individual Air-Conditioning System,2,0,8,10.5,58.5,NONE
14.03,1.147057671,1,120,1,582,22.7064171,5,1971,1220.949951,661.3709717,0,0,0,2.6145301,1414.609985,2.4182401,0.050842,11,1157.319201,,,,,,,NONE
14.05,1.147676324,1,158,1,1090,35.4535675,13,1975,1594.130005,626.2839966,0,165.0630035,83.4849014,2.4712601,1446.390015,2.3779399,-0.0230162,1,172.2618829,,,,,,,retro_after
14.06,1.147985321,1,214,1,1261,49.7590103,14,1971,970.2329712,320.3609924,79.4581985,204.7630005,82.7009964,2.5070801,1423.73999,3.9737401,0.0637708,11,457.9194803,Individual Air-Conditioning System,,,,,,NONE
14.09,1.148910993,0,0,0,0,8.6779127,3,1989,0,93.2692032,0,0,0,2.6145301,1410.229981,1.16141,0.3464301,2,601.4601284,,,,,,,NONE
14.13,1.150142162,1,57,1,188,34.4893456,6,1984,1801.329956,1035.969971,13.3100996,256.1719971,106.0749969,2.5070801,1418.630005,3.10741,0.0939989,11,259.6569481,,,,,,,NONE
14.18,1.151676231,1,331,1,719,51.3646431,15,1976,903.4229736,463.3590088,92.9610977,0,0,2.5428901,1427.76001,2.3457501,0.0300889,11,166.5196341,Individual Air-Conditioning System,,,,,,NONE
14.21,1.152594078,1,425,1,4838,58.7347336,16,1981,510.071991,240.2910004,13.1498003,964.3430176,0.341453,2.5070801,1423.73999,3.9737401,0.0944756,11,405.8501245,Individual Air-Conditioning System,,,,,,retro_after
14.24,1.153509989,1,129,1,536,54.8432312,12,1968,3131.469971,2269.919922,9.6550198,531.3469849,0,2.4712601,1409.5,2.9142699,0.0275989,11,257.975304,Individual Air-Conditioning System,1,0,,,,NONE
14.32,1.155943018,1,146,1,502,41.2822189,13,1975,53.7625999,1842.699951,0,48.035099,0,2.7219701,1428.130005,2.9642301,0.0353199,11,80.78602563,,,,,,,NONE
14.33,1.15624619,1,213,1,240,55.3034973,13,1981,403.5400085,32.9434013,77.4952011,1.2737401,191.572998,2.7936001,1425.939941,2.4418299,0.0073888,11,264.3577177,Individual Air-Conditioning System,,,,,,NONE
14.38,1.157758886,1,250,1,1135,76.0464249,17,1977,1772.26001,791.8740234,0.119477,63.6584015,0,2.7219701,1422.650024,2.1819201,0.05,1,483.8664118,,,,,,,NONE
14.38,1.157758886,1,246,1,1135,79.3489761,17,1977,1831.400024,987.1550293,16.5436993,46.8709984,0,2.7219701,1421.920044,2.1819201,0.0739388,1,503.1461323,,,,,,,NONE
14.57,1.163459552,1,223,1,782,76.0738678,3,1989,567.5709839,250.1130066,0,1357.589966,0,2.4354501,1474.880005,2.61022,0.0727178,41,3632.522043,,,,,,,NONE
14.71,1.167612673,1,134,1,2830,58.394886,22,1992,475.2590027,1395.829956,176.7460022,422.4519958,0,2.6861601,1411.329956,2.4356401,0.0089748,11,422.3150588,Individual Air-Conditioning System,2,0,,,,NONE
14.75,1.16879202,1,243,1,1010,50.8194427,13,1964,763.9829712,1055.75,71.6649017,1084.199951,592.5479736,2.7577901,1421.189941,2.8955801,-0.0234823,41,35.52561531,Individual Air-Conditioning System,,,,,,NONE
14.8,1.170261715,1,144,1,120,27.1974926,11,1978,1014.48999,823.0100098,32.9706993,3707.620117,43.7333984,2.5070801,1425.569946,3.9737401,0.1029685,11,380.3134161,Individual Air-Conditioning System,,,,,,NONE
14.83,1.171141151,0,0,1,4850,13.4143295,1,1984,123.0329971,184.548996,267.6340027,0,62.9236984,2.5070801,1380.650024,2.20593,0.0507803,1,476.06086,,,,,,,NONE
14.85,1.171726454,1,695,1,1056,38.8796501,25,1977,2272.679932,722.507019,98.3733978,927.559021,1.766,2.4712601,1409.5,2.9142699,0.0011026,41,295.0288011,Individual Air-Conditioning System,2,0,,,,NONE
15.01,1.176380692,1,707,1,611,36.8922272,23,1975,783.1069946,624.4160156,88.0700989,309.3359985,248.5070038,2.5070801,1418.630005,2.2251599,0.0915663,11,261.2378745,Central Air-Conditioning System,,,,,,NONE
15.01,1.176380692,1,400,1,337,57.5231476,22,1980,1651.390015,756.9140015,149.9179993,213.4259949,0,2.5428901,1431.420044,2.1853299,0.0643537,1,209.7188737,,,,,,,NONE
15.09,1.17868924,1,322,1,588,51.163681,14,1976,328.8919983,527.3839722,67.6121979,92.1056976,0,2.6503401,1419.359985,3.0106399,0.022187,11,647.9672493,,,,,,,NONE
15.26,1.183554534,1,1478,1,1295,61.4957504,2,1978,416.6900024,659.8720093,104.8499985,225.2319946,0,2.4712601,1366.77002,1.93946,0.0865364,11,485.9129894,,,,,,,NONE
15.33,1.185542155,1,92,1,690,31.3670559,21,1993,354.6210022,438.6440125,0,282.2139893,0,2.7577901,1399.27002,2.21786,0.0311553,11,95.61066622,,,,,,,NONE
